"match_id","date","team1","team2","venue","toss_winner","toss_decision","powerplay_runs","death_overs_runs","toss_win_helped","outcome_label","head_to_head_win_pct"
"406197","2010-02-21","Australia","West Indies","Bellerive Oval","Australia","bat","73","48",1,1,"50.00"
"951327","2016-03-13","Bangladesh","Oman","Himachal Pradesh Cricket Association Stadium","Oman","field","42","41",0,1,NULL
"1157376","2018-11-02","New Zealand","Pakistan","Dubai International Cricket Stadium","New Zealand","bat","43","44",0,0,"66.67"
"1133823","2018-03-18","Bangladesh","India","R.Premadasa Stadium, Khettarama","India","field","36","46",1,0,"22.22"
"1148052","2018-06-04","India","Thailand","Royal Selangor Club","Thailand","field","28","40",0,1,NULL
"1019983","2017-01-08","New Zealand","Bangladesh","Bay Oval","Bangladesh","field","35","65",0,1,"16.67"
"287862","2007-09-14","India","Pakistan","Kingsmead","Pakistan","field","35","30",1,0,NULL
"1142916","2018-07-04","Zimbabwe","Pakistan","Harare Sports Club","Pakistan","field","35","34",1,0,"88.89"
"1223943","2020-09-30","Australia","New Zealand","Allan Border Field","New Zealand","field","44","23",1,0,"82.61"
"551597","2012-09-16","England","West Indies","Arundel Castle Cricket Club Ground","West Indies","field","37","35",1,0,"58.33"
"682901","2014-03-17","Ireland","Zimbabwe","Sylhet Stadium","Ireland","field","62","34",0,0,NULL
"1185316","2020-02-21","South Africa","Australia","The Wanderers Stadium","South Africa","field","69","41",1,1,"47.37"
"1147729","2018-07-12","Ireland","Papua New Guinea","VRA Ground","Papua New Guinea","field","39","29",0,1,"66.67"
"892043","2015-10-29","West Indies","Pakistan","National Cricket Stadium, St George's","West Indies","field","22","14",0,0,"50.00"
"560921","2012-06-30","New Zealand","West Indies","Central Broward Regional Park Stadium Turf Ground","New Zealand","field","34","65",1,1,"25.00"
"356006","2009-06-12","India","West Indies","Lord's","India","bat","36","44",0,0,NULL
"1183511","2019-09-30","Australia","Sri Lanka","North Sydney Oval","Sri Lanka","bat","26","27",1,0,"37.50"
"1127301","2018-06-13","Pakistan","Scotland","Grange Cricket Club, Raeburn Place","Pakistan","bat","47","48",1,1,"100.00"
"1147719","2018-07-07","Netherlands","United Arab Emirates","Sportpark Maarschalkerweerd","Netherlands","bat","36","34",0,0,"0.00"
"356008","2009-06-13","New Zealand","Pakistan","Kennington Oval","New Zealand","bat","27","11",0,0,"0.00"
"951353","2016-03-23","India","Bangladesh","M Chinnaswamy Stadium","Bangladesh","field","40","32",0,1,"66.67"
"1197397","2019-08-18","Canada","Cayman Islands","White Hill Field, Sandys Parish","Canada","bat","38","45",1,1,NULL
"1150534","2018-11-09","Australia","Pakistan","Providence Stadium","Australia","bat","54","36",1,1,"55.17"
"902649","2015-11-26","England","Pakistan","Dubai International Cricket Stadium","England","bat","38","47",1,1,"53.33"
"1150533","2018-11-09","India","New Zealand","Providence Stadium","India","bat","36","54",1,1,"88.89"
"1168522","2019-07-14","Ireland","Zimbabwe","Bready","Zimbabwe","field","45","47",1,0,"0.00"
"1172165","2019-03-09","India","England","Barsapara Cricket Stadium","England","bat","47","34",0,1,"40.00"
"355992","2009-06-06","New Zealand","Scotland","Kennington Oval","New Zealand","field","71",NULL,0,0,NULL
"356017","2009-06-21","Pakistan","Sri Lanka","Lord's","Sri Lanka","bat","39","50",1,0,"50.00"
"1148057","2018-06-07","Thailand","Bangladesh","Kinrara Academy Oval","Bangladesh","field","19","20",1,0,NULL
"287866","2007-09-16","Australia","Bangladesh","Newlands","Australia","field","38","20",0,0,NULL
"666047","2014-01-31","Australia","England","Melbourne Cricket Ground","Australia","field","29","20",0,0,"41.18"
"287864","2007-09-15","South Africa","Bangladesh","Newlands","South Africa","field","68","24",0,0,NULL
"1187719","2020-02-09","New Zealand","South Africa","Basin Reserve","New Zealand","bat","36","31",0,0,"63.64"
