match_id,match_type,date,team1,team2,venue,toss_winner,toss_decision
1265218,,2021-06-08,Namibia,Botswana,Gahanga International Cricket Stadium. Rwanda,Namibia,bat
1265220,,2021-06-09,Rwanda,Nigeria,Gahanga International Cricket Stadium. Rwanda,Nigeria,field
1265221,,2021-06-10,Kenya,Rwanda,Gahanga International Cricket Stadium. Rwanda,Kenya,bat
1265222,,2021-06-10,Botswana,Nigeria,Gahanga International Cricket Stadium. Rwanda,Nigeria,field
1265223,,2021-06-11,Namibia,Nigeria,Gahanga International Cricket Stadium. Rwanda,Namibia,bat
1265224,,2021-06-11,Kenya,Rwanda,Gahanga International Cricket Stadium. Rwanda,Kenya,bat
1265225,,2021-06-12,Rwanda,Nigeria,Gahanga International Cricket Stadium. Rwanda,Rwanda,bat
1265226,,2021-06-12,Namibia,Kenya,Gahanga International Cricket Stadium. Rwanda,Namibia,bat
1267304,,2021-06-24,Greece,Romania,"National Sports Academy, Sofia",Greece,bat
1267306,,2021-06-25,Serbia,Greece,"National Sports Academy, Sofia",Greece,field
1267307,,2021-06-25,Bulgaria,Romania,"National Sports Academy, Sofia",Bulgaria,bat
1267308,,2021-06-25,Romania,Serbia,"National Sports Academy, Sofia",Romania,bat
1267310,,2021-06-26,Serbia,Romania,"National Sports Academy, Sofia",Serbia,bat
1267311,,2021-06-26,Bulgaria,Greece,"National Sports Academy, Sofia",Greece,field
1267322,,2021-06-30,West Indies,Pakistan,"Sir Vivian Richards Stadium, North Sound, Antigua",Pakistan,field
1267323,,2021-07-02,West Indies,Pakistan,"Coolidge Cricket Ground, Antigua",West Indies,bat
1267324,,2021-07-04,Pakistan,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",Pakistan,bat
1267680,,2021-07-22,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat
1267681,,2021-07-23,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat
1267682,,2021-07-25,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat
1268188,,2021-07-08,Belgium,Malta,Marsa Sports Club,Belgium,bat
1268189,,2021-07-08,Malta,Belgium,Marsa Sports Club,Malta,bat
1268190,,2021-07-09,Malta,Belgium,Marsa Sports Club,Belgium,field
1268191,,2021-07-10,Belgium,Malta,Marsa Sports Club,Belgium,bat
1268192,,2021-07-10,Belgium,Malta,Marsa Sports Club,Belgium,bat
1268747,,2021-07-08,France,Germany,Bayer Uerdingen Cricket Ground,Germany,field
1268748,,2021-07-08,France,Germany,Bayer Uerdingen Cricket Ground,Germany,field
1268749,,2021-07-09,Germany,France,Bayer Uerdingen Cricket Ground,Germany,bat
1268757,,2021-07-26,Ireland,Netherlands,"The Village, Malahide, Dublin",Netherlands,field
1268759,,2021-07-29,Netherlands,Ireland,"The Village, Malahide, Dublin",Netherlands,bat
1268760,,2021-07-30,Ireland,Netherlands,"The Village, Malahide, Dublin",Netherlands,field
1270834,,2021-08-03,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Australia,field
1270835,,2021-08-04,Australia,Bangladesh,"Shere Bangla National Stadium, Mirpur",Australia,bat
1270836,,2021-08-06,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat
1270837,,2021-08-07,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat
1270838,,2021-08-09,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat
1271445,,2021-08-05,Norway,Germany,Bayer Uerdingen Cricket Ground,Germany,field
1271446,,2021-08-05,Norway,France,Bayer Uerdingen Cricket Ground,France,field
1271447,,2021-08-06,France,Germany,Bayer Uerdingen Cricket Ground,Germany,field
1271448,,2021-08-07,Germany,France,Bayer Uerdingen Cricket Ground,France,field
1271449,,2021-08-07,Norway,France,Bayer Uerdingen Cricket Ground,France,field
1271450,,2021-08-08,Norway,Germany,Bayer Uerdingen Cricket Ground,Germany,field
1271451,,2021-08-08,Norway,Germany,Bayer Uerdingen Cricket Ground,Norway,bat
1271630,,2021-09-10,South Africa,Sri Lanka,"R Premadasa Stadium, Colombo",South Africa,bat
1271631,,2021-09-12,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Sri Lanka,bat
1271632,,2021-09-14,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Sri Lanka,bat
